driverId,forename,surname,total_win
9,Robert,Kubica,1
5,Heikki,Kovalainen,1
15,Jarno,Trulli,1
21,Giancarlo,Fisichella,2
31,Juan,"Pablo Montoya",4
22,Rubens,Barrichello,4
17,Mark,Webber,9
13,Felipe,Massa,11
18,Jenson,Button,15
8,Kimi,RÃ¤ikkÃ¶nen,20
