driverId,forename,surname,first_year,last_year,career_span_years
4,Fernando,Alonso,2004,2024,20
1,Lewis,Hamilton,2007,2024,17
8,Kimi,RÃ¤ikkÃ¶nen,2004,2021,17
20,Sebastian,Vettel,2007,2022,15
9,Robert,Kubica,2006,2021,15
13,Felipe,Massa,2004,2017,13
18,Jenson,Button,2004,2016,12
3,Nico,Rosberg,2006,2016,10
17,Mark,Webber,2004,2013,9
30,Michael,Schumacher,2004,2012,8
